fecha;demanda_sistemica_mw;media_movil_30d;Mes;Dia_Semana
2006-05-01;6420,85;7037,321666666667;5;0
2006-05-02;6857,17;7057,055666666667;5;1
2006-05-03;6777,83;7051,460666666666;5;2
2006-05-04;6821,11;7044,451333333333;5;3
2006-05-05;7076,42;7048,553333333332;5;4
2006-05-06;6794,960000000001;7040,2356666666665;5;5
2006-05-07;6502,43;7014,160333333333;5;6
2006-05-08;6756,88;7010,696333333334;5;0
2006-05-09;6887,5599999999995;7024,370666666667;5;1
2006-05-10;6814,03;7002,671;5;2
2006-05-11;6854,639999999999;6982,251333333333;5;3
2006-05-12;6899,92;6968,097666666667;5;4
2006-05-13;6622,38;6945,26;5;5
2006-05-14;6488,639999999999;6951,523666666666;5;6
2006-05-15;7067,79;6969,3859999999995;5;0
2006-05-16;6807,900000000001;6977,771333333333;5;1
2006-05-17;6746,68;6953,296666666667;5;2
2006-05-18;6904,040000000001;6934,457333333334;5;3
2006-05-19;7104,799999999999;6929,861666666667;5;4
2006-05-20;6676,0;6908,628666666667;5;5
2006-05-21;6655,629999999999;6886,843666666667;5;6
2006-05-22;7028,44;6887,071666666667;5;0
2006-05-23;7001,93;6895,340666666667;5;1
2006-05-24;7129,379999999999;6880,770666666666;5;2
2006-05-25;6959,81;6861,103000000001;5;3
2006-05-26;7029,62;6848,344;5;4
2006-05-27;6727,780000000001;6826,302;5;5
2006-05-28;6651,04;6805,699666666666;5;6
2006-05-29;6962,0;6810,315666666666;5;0
2006-05-30;6325,5025000000005;6811,772083333332;5;1
2006-05-31;5689,005;6787,3772500000005;5;2
2006-06-01;6935,620000000001;6789,992249999999;6;3
2006-06-02;6979,75;6796,722916666667;6;4
2006-06-03;6718,08;6793,288583333333;6;5
2006-06-04;6556,26;6775,949916666667;6;6
2006-06-05;7310,47;6793,133583333333;6;0
2006-06-06;7141,88;6814,448583333333;6;1
2006-06-07;7180,79;6828,578916666666;6;2
2006-06-08;7051,8;6834,053583333332;6;3
2006-06-09;7074,889999999999;6842,748916666666;6;4
2006-06-10;6959,030000000001;6846,2285833333335;6;5
2006-06-11;6565,99;6835,097583333333;6;6
2006-06-12;6880,4400000000005;6843,699583333333;6;0
2006-06-13;7099,22;6864,05225;6;1
2006-06-14;6871,24;6857,500583333333;6;2
2006-06-15;6956,06;6862,43925;6;3
2006-06-16;6970,76;6869,908583333333;6;4
2006-06-17;6826,129999999999;6867,311583333333;6;5
2006-06-18;6520,9800000000005;6847,850916666666;6;6
2006-06-19;6915,1;6855,820916666667;6;0
2006-06-20;6985,67;6866,82225;6;1
2006-06-21;6920,65;6863,22925;6;2
2006-06-22;6756,85;6855,059916666666;6;3
2006-06-23;7015,04;6851,248583333334;6;4
2006-06-24;6864,67;6848,07725;6;5
2006-06-25;6499,41;6830,403583333333;6;6
2006-06-26;6803,01;6832,91125;6;0
2006-06-27;7046,49;6846,0929166666665;6;1
2006-06-28;6949,429999999999;6845,6739166666675;6;2
2006-06-29;7194,31;6874,634166666668;6;3
2006-06-30;7130,01;6922,667666666666;6;4
2006-07-01;6433,26;6905,922333333334;7;5
2006-07-02;6248,77;6881,556333333333;7;6
2006-07-03;6297,740000000001;6867,545;7;0
2006-07-04;6426,5;6863,219666666667;7;1
2006-07-05;6515,2;6836,710666666666;7;2
2006-07-06;6559,1;6817,284666666667;7;3
2006-07-07;6655,3;6799,768333333334;7;4
2006-07-08;6500,299999999999;6781,385;7;5
2006-07-09;6410,01;6759,222333333334;7;6
2006-07-10;6797,1900000000005;6753,827666666667;7;0
2006-07-11;6848,66;6763,25;7;1
2006-07-12;6704,41;6757,382333333333;7;2
2006-07-13;6789,04;6747,043000000001;7;3
2006-07-14;6902,959999999999;6748,100333333333;7;4
2006-07-15;6527,51;6733,815333333333;7;5
2006-07-16;6369,84;6713,784666666667;7;6
2006-07-17;6752,820000000001;6711,341;7;0
2006-07-18;6686,3099999999995;6716,852;7;1
2006-07-19;6592,54;6706,1;7;2
2006-07-20;6530,5599999999995;6690,929666666667;7;3
2006-07-21;6675,55;6682,759666666667;7;4
2006-07-22;6450,389999999999;6672,544333333334;7;5
2006-07-23;6268,66;6647,665;7;6
2006-07-24;6786,21;6645,049666666668;7;0
2006-07-25;6845,05;6656,571;7;1
2006-07-26;6766,31;6655,347666666667;7;2
2006-07-27;6658,66;6642,42;7;3
2006-07-28;6718,290000000001;6634,715333333333;7;4
2006-07-29;6460,450000000001;6610,253333333333;7;5
2006-07-30;6330,75;6583,611333333334;7;6
2006-07-31;6477,334999999999;6585,0805;7;0
2006-08-01;6962,29;6608,8645;8;1
2006-08-02;7047,17;6633,845499999999;8;2
2006-08-03;6965,349999999999;6651,8071666666665;8;3
2006-08-04;6886,34;6664,1785;8;4
2006-08-05;6721,87;6669,604166666667;8;5
2006-08-06;6662,42;6669,8414999999995;8;6
2006-08-07;6862,700000000001;6681,9214999999995;8;0
2006-08-08;7059,57;6703,5734999999995;8;1
2006-08-09;6960,61;6709,020833333333;8;2
2006-08-10;7034,289999999999;6715,2085;8;3
2006-08-11;6970,44;6724,076166666667;8;4
2006-08-12;6693,82;6720,902166666667;8;5
2006-08-13;6613,25;6711,245166666667;8;6
2006-08-14;6803,639999999999;6720,4495;8;0
2006-08-15;6839,1;6736,0914999999995;8;1
2006-08-16;6957,17;6742,903166666667;8;2
2006-08-17;6779,75;6746,017833333333;8;3
2006-08-18;6711,75;6749,9915;8;4
2006-08-19;6629,84;6753,300833333333;8;5
2006-08-20;6543,2699999999995;6748,8915;8;6
2006-08-21;6766,4800000000005;6759,427833333333;8;0
2006-08-22;6688,0199999999995;6773,406499999999;8;1
2006-08-23;6858,5;6775,8161666666665;8;2
2006-08-24;6932,05;6778,716166666667;8;3
2006-08-25;6936,1;6784,3758333333335;8;4
2006-08-26;6655,36;6784,265833333334;8;5
2006-08-27;6544,51;6778,473166666667;8;6
2006-08-28;6766,14;6788,662833333333;8;0
2006-08-29;7028,1;6811,907833333333;8;1
2006-08-30;6976,5;6828,546666666666;8;2
2006-08-31;6984,48;6829,2863333333335;8;3
2006-09-01;6847,030000000001;6822,615000000001;9;4
2006-09-02;6678,96;6813,068666666667;9;5
2006-09-03;6570,610000000001;6802,544333333333;9;6
2006-09-04;6810,3099999999995;6805,492333333333;9;0
2006-09-05;6758,8099999999995;6808,705333333333;9;1
2006-09-06;6924,0199999999995;6810,749333333334;9;2
2006-09-07;6808,820000000001;6802,3910000000005;9;3
2006-09-08;6936,43;6801,585;9;4
2006-09-09;6801,55;6793,827;9;5
2006-09-10;6682,95;6784,244000000001;9;6
2006-09-11;7025,52;6795,300666666666;9;0
2006-09-12;6963,74;6806,983666666667;9;1
2006-09-13;6871,049999999999;6809,230666666667;9;2
2006-09-14;6699,37;6804,573;9;3
2006-09-15;6778,65;6798,622333333333;9;4
2006-09-16;6601,9;6792,694;9;5
2006-09-17;6203,51;6775,752666666666;9;6
2006-09-18;5854,55;6749,909666666667;9;0
2006-09-19;6100,74;6735,158666666667;9;1
2006-09-20;6745,84;6734,470666666666;9;2
2006-09-21;6928,43;6742,484333333333;9;3
2006-09-22;6923,540000000001;6744,652333333333;9;4
